Company,Facility,OrderID,OrderType,Customer,Carrier,Reference,PO,SO,PRO,StoreNo,CreateTime,ScheduleDate,AppointmentTime,InYardDate,PickedDate,ShippedDate,Cancelled,CancelledDate,EntryType,ContainerNo,ContainerType,ContainerQty,TrailerQty,TrailerType,EntryID,RushOrder,LoadNo,LoadType,UsedHours,LabelQty,Item,ItemGrade,ItemType,Title,Supplier,ItemUOM,OrderedQty,PickType,PickQty,ShippedQty,ItemVOL,VolumeUOM,ItemWGT,WeightUOM,ItemAREA,AreaUOM,PalletType,PalletQty
LT,VB,DN-4438,,Test-Generic,,test-ref-001,test-ref-002,,11112,,2018-03-21 12:38:08,,,2018-03-21 12:58:16,2018-03-21 12:44:26,2018-03-21 13:00:10,false,,Manual,,,0,0,48,,false,LOAD-2159,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testSN,,,Test-Generic,Test-Generic,EA,10,PIECE_PICK,10,10,0,cubic footage,0,POUND,0,square footage,other size,1
LT,VB,DN-4486,,HALLMART001,Toll Global Forwarding,BBB-TOLL1-032618,BBB-TOLL1-032618,BBB-TOLL1-032618,,,2018-03-22 17:29:35,2018-03-26 12:00:00,,,2018-03-23 16:31:40,2018-03-26 09:05:16,false,,EDI,,,0,0,48,,false,,,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73803,,,HALLMART001,,CS,1,CASE_PICK,0,0,0.8802027,cubic footage,12,POUND,117,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73806,,,HALLMART001,,CS,12,CASE_PICK,0,0,0.7499952000000001,cubic footage,11,POUND,108,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73810,,,HALLMART001,,CS,12,CASE_PICK,0,0,0.8124948000000001,cubic footage,11,POUND,117,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73814,,,HALLMART001,,CS,7,CASE_PICK,0,0,0.7499952000000001,cubic footage,11,POUND,108,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73818,,,HALLMART001,,CS,13,CASE_PICK,0,0,0.8124948000000001,cubic footage,11,POUND,117,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77468,,,HALLMART001,,CS,3,CASE_PICK,0,0,4.837932,cubic footage,21,POUND,440,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78002,,,HALLMART001,,CS,59,CASE_PICK,0,0,6.1492662000000005,cubic footage,24,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78003,,,HALLMART001,,CS,28,CASE_PICK,0,0,8.5555008,cubic footage,24,POUND,672,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78004,,,HALLMART001,,CS,6,CASE_PICK,0,0,6.1492662000000005,cubic footage,24,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78010,,,HALLMART001,,CS,82,CASE_PICK,0,0,6.1492662000000005,cubic footage,24,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78011,,,HALLMART001,,CS,97,CASE_PICK,0,0,6.1492662000000005,cubic footage,22,POUND,506,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78012,,,HALLMART001,,CS,96,CASE_PICK,0,0,6.1492662000000005,cubic footage,24,pound,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78041,,,HALLMART001,,CS,1,CASE_PICK,0,0,8.2655721,cubic footage,36,POUND,529,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78042,,,HALLMART001,,CS,1,CASE_PICK,0,0,8.4918438,cubic footage,18,POUND,506,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78052,,,HALLMART001,,CS,9,CASE_PICK,0,0,5.0312178,cubic footage,20,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78053,,,HALLMART001,,CS,7,CASE_PICK,0,0,5.590242,cubic footage,21,POUND,483,square footage,other size,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78054,,,HALLMART001,,CS,7,CASE_PICK,0,0,5.104134,cubic footage,24,POUND,420,square footage,other size,1
